"Story","Title","Result","Date","Stability","Duration (s)"
"Automate the different methods for creation, get and update of API RESTFUL BOOKER","Get Booking","SUCCESS","2024-06-12T19:17:14.6786307-05:00[America/Bogota]","0.0","1.02"
"Automate the different methods for creation, get and update of API RESTFUL BOOKER","Create Booking success","SUCCESS","2024-06-14T14:29:02.1577668-05:00[America/Bogota]","0.0","4.59"
"Automate the different methods for creation, get and update of API RESTFUL BOOKER","Get Booking of client","SUCCESS","2024-06-14T14:29:06.7541194-05:00[America/Bogota]","0.0","1.01"
"Automate the different methods for creation, get and update of API RESTFUL BOOKER","Update Booking Existing","SUCCESS","2024-06-14T14:29:07.7712598-05:00[America/Bogota]","0.0","1.51"
